id_0,AMB_TEMP,35,35,35,34,33,31,30,29,29
id_0,CH4,1.6,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7
id_0,CO,0.17,0.15,0.14,0.14,0.17,0.22,0.3,0.37,0.42
id_0,NMHC,0.02,0.01,0.01,0.01,0.03,0.04,0.08,0.13,0.11
id_0,NO,1.6,1.7,2,2.1,1.9,1.8,1.8,1.6,1.7
id_0,NO2,4.4,4.7,4.6,4.5,5.6,7.6,11,12,15
id_0,NOx,6,6.5,6.6,6.6,7.5,9.5,13,14,17
id_0,O3,61,60,54,53,51,51,46,45,42
id_0,PM10,42,42,35,37,34,41,41,49,51
id_0,PM2.5,39,43,29,23,25,27,32,26,40
id_0,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR
id_0,RH,50,51,51,54,58,63,66,67,65
id_0,SO2,3,2.9,2.4,2.4,2.1,2.6,2.9,2.8,2.9
id_0,THC,1.7,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8
id_0,WD_HR,269,261,269,267,270,278,276,281,243
id_0,WIND_DIREC,260,265,276,267,278,278,278,283,220
id_0,WIND_SPEED,3,3.5,3.2,3.3,3.1,2,1.9,1.6,1.2
id_0,WS_HR,2.3,2.9,3.3,3.6,3,2,2,1.8,0.9
id_1,AMB_TEMP,24,25,25,27,29,29,30,30,30
id_1,CH4,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6
id_1,CO,0.13,0.12,0.16,0.22,0.24,0.19,0.18,0.18,0.17
id_1,NMHC,0.03,0.02,0.04,0.05,0.11,0.11,0.13,0.08,0.05
id_1,NO,0.9,1,1.6,2.3,4,3.8,3.4,2.4,2.7
id_1,NO2,3,3.3,4.5,4.2,6.5,5.3,5.4,5,4.8
id_1,NOx,3.9,4.3,6.1,6.5,10,9,8.8,7.4,7.4
id_1,O3,23,21,18,19,20,22,25,26,30
id_1,PM10,25,24,19,19,25,25,28,29,28
id_1,PM2.5,18,13,22,18,14,10,13,11,14
id_1,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR
id_1,RH,67,65,65,64,58,58,56,57,56
id_1,SO2,2.2,2.4,2.4,2.4,3.1,2.8,2.9,2.6,2.4
id_1,THC,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.7,1.7
id_1,WD_HR,201,181,185,190,180,195,191,198,191
id_1,WIND_DIREC,198,164,203,184,190,174,196,194,206
id_1,WIND_SPEED,1.8,1.7,3.4,3.8,2.9,3.7,4.1,4.3,3.2
id_1,WS_HR,1.3,1.8,2.1,3.6,3,3.9,3.5,3.6,3.2
